発話文	応答文	xの場合x	(理由？なくても)
ホテルの朝食に郷土料理と塩辛あるの嬉しい	わたし好き嫌い多いし、塩辛たべられないしなあ		
新米食べてみてください	米はやっぱり新米ですよね		
豆のマリネも残っていたので撮り直してみた		x	文脈
弁当に入れてきたニンジンサラダにドレッシングかけ忘れた	生のままで食べたの？		
紅茶さえくれたら許してあげる		x	文脈
スーパーに鶏肉降ろしてる業者が食べる		x	?
ハニーの香りの期間限定のハンドクリーム買ってしまった		x	テーマ
あのリンゴの簡単ケーキ作ってみたらこうなった		x	あの
ボジョレーは赤ワインな割にはクセがなくて飲みやすかった	私も今度のんでみる		
我慢できずにエクレア食べてしまった	君、絶対に太るよ		
マヨネーズを破裂させてしまったがそのまま客に渡した	お客さん怒るでしょ		
イチゴの果実は赤い部分じゃない	そうなの、物知りー天才		
美味しくごはんを食べられるのはいいことだ	ご飯ってものは生きるために食べるものだよ。美味しくなくていいんだ		
焼き芋の歌が聞こえてくる	このサツマイモの歌懐かしい		
キャベツもっと欲しかった	キャベツは今物価高いんじゃ		
これからパプリカとスターウォーズ観てこます			パプリカ？
揚げ物を食べてしまった	ダイエット失敗ですね		
カフェラテ飲んだら気持ち悪くなってきた	大丈夫ですか。水もってきますよ		
このホイップクリームになんか既視感あると思ったら		ｘ	この
今日はいつもと違うスパイスを使ってみたんだ	何のスパイス使ったの		
さいきん鮭の切り身はたべれるようになったんです	サケの切り身は皮がうまくない？		
明日の昼ご飯にはポタージュを作ろう	なんのポタージュつくるの		
ハイになってウォッカあおってたから回って来た	ウォッカなんて飲むものじゃない		
今夜は栗ごはんと里芋煮とほうれん草のおひたしと秋刀魚です	まあ！なんて健康的な		
とりあえず野菜食べてたら健康な気がする	お金ないからそんなの無理		
桃のタオル希望です		ｘ	テーマ
ピーナッツどか食いで出ます		ｘ	文
あさりの出汁で炊いた	あさりの出汁で味噌汁も美味しいよね		
梨の果汁が溢れ出る	梨は果物で一番すき		
お鍋美味しかったあ〜	これが今年初鍋でした！		
イカ楽しすぎて寝れない		ｘ	？
現実逃避のために甘納豆食べてる	私はチョコたべるよ		
昨日のリンゴのタルトぽいの作ってみた		ｘ	昨日の
麺類のすすり方忘れた	あんた麺類好きじゃなかった？		
少しだけ細かい柚子入って今まで食べたことない味だった		ｘ	文脈
寝ないとやばいけどナポリ面白い			
あの死んでたサザエの匂いは忘れられんクサすぎた		ｘ	ナポリ
気持ち悪くて死んでるから石油王にゼリー食べさせて欲しい		ｘ	？
ご飯前だけど安定のリゾット作って食べよ	いいな—私にも作って		
ホットケーキと聞いてやって来ました	君はホットケーキ好きだねえ		
ワインに合うラスクだと知らずに開けてしまった	おい！それとっておいたのにー		
家族の顔のクッキー作った	何かの記念日だったの？		
ありがたいことにフルーツケーキとショートケーキの鯖がいらっしゃる		ｘ	テーマ
スーパーで買った揚げ物がサックサクだ	何処のスーパーいったの？		
とろろのせいでめちゃくちゃ腕が痒い辛いいい	とろろの食べ方へたかよ		
餃子よりクロワッサンとハーゲンダッツが食べたい	餃子ならビール飲めるじゃん！		
焼き魚が食べたくなるだけだった	焼き魚といえばやっぱ鮭じゃない？		
半生ぐらい一緒にいる気がする		ｘ	テーマ
白菜と豚肉の炊いたんです	その鍋めっちゃ美味しそう		
生牡蠣がいい	生ガキはグロテスクで無理です		
民に粥を与え	お粥なんて質素な		
モツ煮の大根が美味しすぎてもっと炊けば良かった	モツ煮にはやっぱビールだよな		
フグに餌あげそびれてごめんなってなる		ｘ	文
キッシュは美味い不味いがすぐわかる	キッシュは食べたことありません		
何でハーブティーにカフェラテ入れたんだろ	ちょっと気にはなるけどね		
小麦が瞬間接着剤で治して行ってあげる		ｘ	テーマ
電車がウィンナーのようだ		ｘ	テーマ
30cmくらいあるパウンドケーキを口に突っ込まれるってなかなかシュールです	きみの口につっこんであげるよ		
喉乾いたからお茶飲みたい的な	じゃあスタバ行こう的な		
スパゲッティ買い忘れた	しかたない今日はうどんだね		
たまねぎのねぎだ本当だ	玉ねぎ辛そうでたべたくない		
魔法のプリンです	それが噂の魔法のプリン！		
夕食は大豆のお肉のから揚げ	それお肉じゃないやん		
アップルパイより重いものは持ちません	君はお嬢様か		
時代は飴と鞭より飴と飴だよっ	やっぱりまだゆとり時代ですねーー		
カップラーメンなど乾麺は賞味期限切れたら		ｘ	文
焼き芋も買った		ｘ	文脈
微妙に半熟でした	私は半熟くらいが好きだけどね！		
揚げたてのファミチキに殺されかけた怖かった	ファミチキに殺されるってどゆことやねん		
♪風邪予防に生姜をすってinしてもまた美味	風邪に生姜は間違いないね		
耳にタコができるだ		ｘ	テーマ
一休みして紅茶を飲んでいるようです		ｘ	文脈
ドーナツの食べ方って迷っちゃいます	ドーナツはかぶりつくのが一番		
正しい甘栗売りとモグリの甘栗売り		ｘ	文脈
赤じゃがいもってのを買ったので肉じゃがにしてみた	赤ジャガイモ。。なんかそそられない		
どうにもお腹すいて帰りにセブンでドリア買ってしまった	あーあ。ダイエット終了！		
ブロッコリーとゆで卵のオイマヨあえ	それ絶対美味しいじゃんー		
もやしだけでなんて充実したつまみ	コスパ最強野菜もやし		
ロイドの為なら苦手な料理も頑張って作るよっ		ｘ	人名
野菜が高くて栄養不足になっとった	一人暮らしだと年中野菜不足だけどね		
ウーロン茶に含まれている		ｘ	文
ピザに乗ってる海苔がかわいい	ピザに海苔って食べたことないなあ		
セブンの焼鯖とおかかめっちゃうまい	セブンのおにぎりは間違いない		
軽く湯がいたほうれん草もあえて	ほうれん草鉄分だっけ？		
ファイル名見たとき飲んでたチューハイ吹いちゃった	チューハイ吹くのはあかんでしょ		
緑茶じゃなくてぶどうジュース買うの忘れてた	ぶどうジュース私すきじゃないから		
醤油をつけて御飯を巻いて食べる派です	私はご飯に乗っける派です		
冷凍唐揚げの甘酢あんかけ	何かつまみによさそうー		
指にタコができて痛くて勉強する気ない辛い		ｘ	テーマ
黄身が濃くて最高です	高い卵だったの？		
蟹は死体を食う	誰だって生きるためなら食うよ		
全部ブロックして美味しい牡蠣を食べに行けばいい		ｘ	文
プリンのプルプル感が楽しめる	私もプルプル感好きよ		
バームクーヘンの上にポップコーンが乗ってるように見えます	私もそう見えます		
朝からカボチャと小豆煮	和食でいいんじゃないんですか		
かぼちゃの効能いろいろ	かぼちゃはからだにいいよね		
おからは汗をかく	なんかその言い方嫌ですね(笑)		
揚げたての炒飯が食いてぇ	チャーハンは油多いほどうまい！！		
