発話文	応答文	xの場合x	(理由？なくても)
実家にバリスタあった	いいな、コーヒー飲みたい		
とりあえず白味噌だんご	白味噌だんご食べたことないけど、美味しいの？		
辛味と香りに気をつけて味付けをするようになった	辛すぎると味がわからなくなっちゃうよね		
ペペロンチーノに入れた唐辛子をそのままもぐもぐしたら		x	
あずさんから貰ったも雑穀入れた		x	
少量と水っぽいマヨネーズ少し		x	
仕事は納豆のように粘り強くするものだ		x	
具沢山の豚汁食べたい	豚汁は具沢山の方が美味しいよね		
うずらちゃあああん♡フォルムも顔も完璧に可愛い		x	
男のマロンが抑えきれなかった		x	
おかひじきのおひたし売り切れました	おかひじきはよくマヨネーズかけて食べる		
バームクーヘン(ティラミスとチョコレート)とバームクーヘンのラスクでーす	バームクーヘンのラスクってどんなものなの		
体がイモと油を欲している	ポテトチップス食べたらいいよ		
シリアルを食べた後の残った牛乳を飲むのが辛い	私は牛乳に味ついてるから好きだけどね		
卵二つ割ったら2連続で黄身が二つ出てきた	すごい幸運だね		
ホタルイカの時期が来たら酢味噌あえ	ホタルイカ食べたことないなあ		
キャベツとツナと合わせるのも好きです		x	
海老の尻尾は残す派です	私も尻尾は残しちゃう		
チーズケーキにはサツマイモと栗の甘露煮をシロップごとかけた	チーズケーキにサツマイモと栗って合うの？		
紅茶も一緒に持って行きましょう		x	
蒙古タンメンの虜になれ	辛いもの食べられない		
栗の小枝食べてる	栗味の小枝なんてあるんだね		
死ぬほど焼き芋買ってやりたい	焼き芋はお腹にたまるからそんなに食べられないよ		
沖縄は海ぶどうともずくの天ぷらが好きです	海ぶどう美味しいよね		
Jr.「一番好きなのはサーモンです		x	
素麺だけで食い繋いでまで参考図書を買う		x	
果物の皮むきうまくなりたい	私も下手だから練習しないとね		
コーラはビンの方がうまいようだ	飲み物ってビンの方が美味しいって言うよね		
ホットケーキ焼いておかきの袋抱いて甘		x	
きなことかきなやんとかお好きに呼んでください		x	
シダのイワシの角煮		x	
茄子の数は6個だ	茄子6個も何に使うの？		
バームクーヘンの出番だろう		x	
肉食ったらオリーブ大きくならへん		x	
あのスープで塩ってどんな感じだろ		x	
鱒の孵化場でダンスをすることになっている		x	
今日も紅茶がおいしい	たまにロイヤルミルクティーが飲みたくなる		
甘口が飲みたい		x	
おや棚へ上げて置いた鮭がない	鮭は冷蔵庫に入れないとダメだよ		
