発話文	応答文	xの場合x	(理由？なくても)
スパイスを入れて煮立てます	入れすぎに注意しよう		
その後いろんなサバで宣伝活動してきました		x	食べ物じゃない
風呂入ったら買ってきたドーナツ食べます	チョコレート味が好き		
ケツからソーセージ突っ込んで奥歯ガタガタ言わせてやる		x	
牛乳もコンソメもないけど無理矢理リゾット作った	どんな味がするのか気になる		
夕飯の豚汁の仕込みが終わりました	夕飯が楽しみですね		
校長先生がかつてのサザエの担任教師から聞いた		x	
シナモンの香りすごい	香りで癒されますね		
ムカつきすぎて乳の片方でも揉んでおきゃ良かった		x	
お鍋とか食べたい	寒くなってくると美味しいですね		
ブラックペッパーはGI高かったような		x	
(地震怖くとも豚汁作ってた	逃げた方が良かったんじゃないですか		
ファンタオレンジに含まれてる果汁くらいの割合でや		x	
重ねて更に千切りとどんどん厚く難しくなる		x	
テリヤキバーガーのマヨネーズとレタス抜いて下さい	好き嫌いはよくない		
ひよこ豆のポタージュ食べたいです	たまに食べたくなりますね		
ペペロンチーノを夜ご飯にしよう	辛さが癖になりますよね		
ぼんじりは塩にかぎる	塩加減がたまらない		
めっちゃきのこに似てる松茸ぐらいがちょうどいい	大きすぎると大味ですからね		
パイナップルとは手榴弾の事を指す		x	
ビタミンEが豊富なアーモンドを加える事で		x	
トーストにジャムで大きなハートをかく	それは面白いですね		
一緒に生肉食べましょう	焼いた方がいいんじゃないかな		
バターと蜂蜜をぬって頂きました	それは美味しそうですね		
半年ぶりのフグの動きが可愛すぎてやばいです		x	
なまこの腸を塩辛にした珍味のことです		x	何を
ご当地ハイチュウでシークワーサー味とパイナップルが人気らしい	自分も好きです		
レーズンとバターが固めてあるだけなのに美味しい	どんな味がするのか気になる		
アジの鮮度が落ちました	鮮度が高い方が美味しいよね		
キウイ入ってるから絶対美味しい	人によりますよね		
カスタードで作ったシュークリームちょー美味しい	甘いものは大好きです		
クリーミーなんだけど意外と極端に甘くない		x	何が
ハムのお肉フルコースよりはよくない		x	何が
コラーゲン買って帰ったと思ったけどプロテインだった		x	食べ物？
ゲームでもやろうって焼酎の水割り作ってる	飲み過ぎには注意		
カボチャのコロッケだけは口に入れるのも無理	かぼちゃは嫌いですか		
イワシに混じって獲れるらしい		x	何が
焼きうどんたべよを開始しました		x	非文
最初のタマゴが孵った		x	何の
かき氷ってのは氷を細かくしただけでは無いんだ	単純じゃないんだね		
しらすかき揚げを食べました	新鮮で美味しそうだね		
喉のイガイガ治らないので蜂蜜を舐めてる	喉にハチミツは良いのかな		
紅茶にはタンニンという成分が含まれており		x	途中
高品質の豆は高温で淹れたほうが良い		x	何を
父が作ったレアチーズケーキを食べました	すごい美味しそう		
チーズで体温まった	保温効果あるのかな		
キャベツとレタスの違いわからない系男子筆頭です	分からないかもしれない		
ちゃんぽんも気持ちで参戦してるでしょ		x	破綻
馬刺し初めて食べてみた	美味しかったですか		
今日はほうとう作りました	それは美味しそうですね		
すっごいスイートポテトの味する		x	何が
チャイも漢方薬みたいだ	似た味がするのかな		
久しぶりに狼と香辛料見始めた		x	食べ物じゃない
今甘露煮を煮ている	できるのが楽しみですね		
生の貝食べれない	少し怖いですよね		
ラー油は餃子につけて食べるのが好きだ	自分も好きですね		
初めてウォッカを買ってみた	飲み過ぎには注意ですね		
プルコギうまし(っ	それは美味しそうですね		
孔雀さんって鉄火っぽいんだけど落ち着いてて		x	人名・意味
明日の朝は味噌汁だ	体に良さそうですね		
次ウイスキー割ってみます	飲み過ぎには注意ですね		
やる気本当にでんすぎるからスイートポテト作ろ		x	意味
公式のレアチーズケーキしろたえのホールじゃない		x	破綻
イベのSR確定からミントでた		x	食べ物じゃない
レモンの蜂蜜漬けを作っています	スタミナ回復にもってこいですね		
ウイスキーはハーフロック1杯でダメになる	体に気をつけてくださいね		
ニラ売切れとか超絶悲しい	そんなに人気があるのかな		
みかんの缶詰め食べたい	美味しいですよね缶詰		
自力でカフェオレ作ったら結構いけることがわかった	なかなかやりますね		
去年はコーラ出ました		x	意味
魚肉どっさり買った	何に使うんですか		
やっぱり何故かかき揚げと発泡酒以下にした		x	破綻
茶碗蒸し食べ過ぎた	食べ過ぎ注意ですね		
めっちゃ甘口のタレかかってて死にかけながら食べた	甘すぎると辛いかもしれませんね		
りんごのパウンドケーキを焼き始めた	出来上がりが楽しみですね		
湯葉も楽しめます	それは楽しみですね		
屋根の下で生活している上で酒の入った		x	破綻
子どもと一緒に里芋でも作ってさあ		x	意味
近所のケーキ屋のマカロンが一番おいしい	マカロン好きなんですか		
鶏肉のネギ塩ダレ得意だからつくってあげる	それは楽しみですね		
燭台切が炊いた白米食べたい		x	人名？
水割りのつもりが水入れすぎた		x	何に
サバの塩焼きってどう	とても良いと思う		
マンゴーのように口の中に味が残らずにすっきり		x	何が
今日はひたすらショートケーキとロールケーキを作り続けた	大変ですね		
仲良くなったおばちゃんに赤飯をもろた	良かったですね		
ライムの果汁に濡れたらみかんがみかんじゃなくなっちゃう		x	意味
枝豆が食べたい	おつまみに良さそうですね		
小さな赤い果実だ		x	何が
まぐろはトロよりも赤身の方が好きで	人によりそうですね		
銀杏食べるとウンコが銀杏臭い		△	どうなの
冷えた体にあったかいほうじ茶が染みる	体が温まりますね		
肉じゃが作り過ぎちゃったんですけど完食しました	美味しいものはたくさん食べられます		
福島の白桃が食べたい	美味しそうですもんね		
ほんとハイキューもライチも好きなの嬉しい		x	比較対象
今晩はほうとうにしたっ	美味しそうですね		
カラ松のマカロン欲しさに長いことやらかしつづけた結果です		x	意味
秋刀魚の生姜昆布煮	どんな味なのか気になりますね		
この場合は鯨は当然ヴィクトルなんだろ		x	意味
オクラの梅肉和え	おつまみに良さそうですね		
くるみっていうので好きに呼んでください		x	人名
ミネストローネと唐揚げ買った	どちらも美味しそうですね		
氷が溶けて魚が露出している		x	食べ物？
今日はマグロのお刺身と松茸のお吸い物でした	美味しそうで良いですね		
ヨモギには優しくせなアカンもんや		x	人名？
最近歌を歌いたくてしょうがない		x	食べ物じゃない
クリスマスは美味しいケーキが食べたいです	クリスマスにはケーキですよね		
暇だからとりあえずアーモンド食べる	食べ過ぎに注意ですね		
明日のニラ頑張ろ		x	意味
フォアグラの農場を停止します		x	意味
もう自分でこんにゃくを調理したらだめだ	あきらめないでチャレンジですよ		
水炊きしてポン酢で食べるお鍋が好き	それは美味しそうですね		
デザートは別腹で普通に食べれてしまった	甘いものは別腹ですね		
おうちで釜飯なう	それは良いですね		
燻製やってみたい	興味が惹かれますね		
醤油か塩で迷う	自分は醤油派ですね		
牡蠣食べたらお腹痛い	お大事にどうぞ		
実家の柿です	美味しそうですね		
あーでもウイスキーの当てにチョコって聞いたことある	そういうこともあるんですね		
カワハギ捌くのは楽しいから好きだ	楽しいものなんですか		
ケータイにポタージュ溢れた	これからは気をつけてね		
青リンゴを禁断の果実とするなら		x	破綻
卵焼きも綺麗なのになぜ		x	何が
キャベツの代わりにネギを入れてる		x	何に
自分の餅くらいっ		x	破綻
鼻セレブではこぼしたジュースを拭かない	高いですからね		
おかかを裏切らないで済む		x	意味
大トロの脂身って牛肉の味がするんだ	そういうこともあるんですね		
転んだその娘に紅茶ぶっかけられる夢を見た	それは大変そうですね		
トンビが油揚げをさらう瞬間をご覧ください		x	画像ありき？
きんたろうスイートポテトとやらを発見食べ比べっ		x	比較対象
おから使うの定番じゃん		x	何に
食べるラー油かけたり変えてみたりはしてる	いろいろなものにあいますね		
肉じゃがも美味しいです	定番料理ですね		
焼豚美味しくいただきました	それは美味しそうですね		
楽って甘いもの特にカスタードが嫌いなんだ		x	人名？
年越しそばには海老の天ぷらがたべたいです	年越しにはそばですね		
せんべい気にいってくれてよかった	食べ始めるとやめられない		
わさびが鼻に来た後にコーラを飲むと辛みが消える	そんなことがあるんですか		
とりあえず果物にマヨネーズがダメなんだろうと思う	相性が悪そうですね		
レタス忘れてた	買い忘れにはご注意を		
30日プランク達成のご褒美に自分にウイスキーを与えている		x	意味
生姜を少しだけ混ぜたハチミツレモンとかどうだろう	体が温まりそうですね		
秋刀魚の季節は終わった	美味しかったですね		
銀杏の殻を割る才能が無いことを知った	頑張ってください		
