発話文	応答文	xの場合x	(理由？なくても)
寒すぎてピスタチオのアイス買って帰るの忘れた	珍しいアイスだね		
売り場でカボチャとかパプリカ見ると焼きたい	焼くとおいしいよね		
まじで頭痛いからとりあえずポタージュ飲んで寝る	ポタージュ甘くておいしいよね		
カノンまだカスタード食べてないので食べたらぜひ感想待ってます		ｘ	
12月職場でロールケーキの生地を焼くことになってしまった	楽しそうでいいね		
今日のメレンゲのいのちゃんの髪型とても好き		ｘ	
いい肉の日なので賞味期限切れのさつま揚げ食べます	お腹壊すからやめた方がいいよ		
バームクーヘンに生クリームのせてみた	絶対おいしいじゃん		
ベジップスは玉ねぎをレギュラー落ちさせてレンコンを入れよう	ベジップスおいしいよね		
柿と絹ごし豆腐とほうれん草と油揚げがある	なんか作るの？		
久しぶりのロールキャベツはうっまい	自分で作ったの？		
レモンの香りは眠気を覚まし		ｘ	
上にホイップクリームをがっつりつけられたwデブまっしぐら	カロリー高そう		
ブロッコリーあるから安心してたらもやし買うの忘れた	今から買って来れば？		
堅あげポテト食べたら口のなか血の味する	堅いから口切れちゃった？		
しょうがないから有りにしてやった		x	
いうてレシピ覚えてるのティラミスくらいしか無い	ティラミス作れるの？		
久しぶりのテキーラはあかん	テキーラは絶対ダメ		
早く戻らなきゃないのに紅茶があつい	猫舌なの？		
フルーツたっぷりロールケーキとレアチーズタルトを買って無事帰宅っ	どっちかちょうだい		
濃いめのブレンドにすべきだった	濃いコーヒ飲むと気分悪くなる		
いつもよりケーキ感の強いガトーショコラができました	ふんわりしてるのかな？		
三和くんにメープルシロップをかけて食べることができる		ｘ	
最寄駅で春巻きの匂いがする	買って帰らないの？		
カレーにレンコン入れてるの初めて見た	斬新だけど意外においしそう		
まだアルコール入ってるから風呂は朝入る	飲みすぎ注意してね		
にんにくとベーコンも忘れない	なにかつくるの？		
子供達に酒を進めるのはやめてくれ	未成年だもんね		
過保護のきくらげたべてやる	そんなきくらげあるの？		
海老だけお腹いっぱい食べたい	エビチリ食べたくなってきた		
オイル換えてからシフトアップはかなりスムーズ		ｘ	
ブルーベリーとレアチーズのシュークリームを再販してください	どっちもおいしそうだね		
カップ麺の残り汁で作る茶碗蒸しうま過ぎない	それっておいしいの？		
穏やかに酒が浸透する	飲みすぎ注意してね		
無性に豚汁飲みたくなる	豚汁おいしいよね		
ライムとソーダ水とかレモンとジンジャエールで割るとめっちゃ美味しい	さっぱりしておいしそう		
赤マルソフトとマヨネーズでお祝いしたいけどできません		ｘ	
読みたくてしょうがないのです		ｘ	
苺はいらないからブルーベリーつけて欲しい	いちごよりブルーベリーがすきなの？		
バームクーヘンたらふく食べてもすぐお腹空く不思議	いくらでもたべれそうだよね		
肉団子の甘酢炒め	さっぱりしていておいしいよね		
蟹その時間に起きてへんやろ		ｘ	
生牡蠣食べたらめちゃくちゃ嘔吐する事を学んだ	あたったんだねお大事に		
無調整の豆乳飲めるようになった	ばなな味の豆乳おいしいよ		
明日は栗ごはんとひじきのつくねです	健康的でおいしそう		
今日もオイル使っちゃう	使いすぎ注意してね		
90円のアイスは嬉しい	コスパいいよね		
りんごとパイナップルは用意しなかった	ペンに刺すのかな？		
生クリームの方は写真撮る前に食べちゃった	食べる前に撮らないとね		
お風呂上がりに麦茶のお湯割り飲んでおる	飲みすぎ注意してね		
狸かすっぽんぽんしか浮かばない		ｘ	
磯丸いこーな	磯丸行ったことない、こんどつれていって		
大根も土の中でうまさを蓄えています	大根は9割が水分だよ		
渋谷東急のクロワッサンの店が7月末で閉店していた	あそこのクロワッサンおいしいよね		
大漁につきお手頃価格にて販売しております	いっぱい買って帰ろう		
お鍋にへばりついたりしちゃいました	洗うの大変そう		
セブンイレブンの春巻きとアサヒスーパードライで消してしまおう		ｘ	
今日頑張ったら夜はパパイヤ打ち上げ		ｘ	
割りとテリーヌに近い料理だった気がする	テリーヌってどんな料理		
豚肉と茄子の味噌炒め食べたいです	めちゃめちゃおいしいよね		
柚子が起きてる		ｘ	
ライト飽きたら次はオニオン頑張る		ｘ	
お茶でも飲んで一休みしたら	一休みしたらそのまま寝そう		
ポカリスエットとヨーグルトとうどんを買ってきた	風邪ひいたのかな？		
どうせなら生牡蠣食べたい	おいしいけどお腹壊しそう		
今日冷凍庫開けたらアイス入ってた	だれか買ってきてくれたの？		
酒飲んで寝る	飲みすぎ注意してね		
付け合せはネットで見かけたナスの炒め浸し	炒めて浸すって斬新だよね？		
心配していたキキララはアイスではなくポテトでした		ｘ	
鮎の塩焼きドーン	塩加減大切		
チューハイ飲んでからじゃないと寝れない体になりつつある	飲みすぎ注意してね		
ミネストローネ美味しくできました	冷めないうちに食べたほうがいいよ		
お茶も出ない	お茶くらいだして		
納豆は世界を救う	納豆そんなに好きなの？		
年末もチーズだ	チーズすきなんだ		
イケメンにはペペロンチーノのにんにく部分をやろう	息臭くなりそう		
鯵の開き(´∀｀*)ちょーうんまい	少しちょうだい		
100円のカルボナーラ食べたい	そんなにやすいの？		
ありさ五番街のジェラート食べよったら見つけた		ｘ	
枝豆は100%の確率で一緒に寄生虫を食べてます	枝豆に寄生虫いるの！？		
小豆の収穫作業が終わった所です	おつかれさまです。		
おしるこ味の豆乳ってすごくない	すごく甘ったるそう		
久々に自分が興奮する出来の煮付けができた	煮付けおいしいよね		
明日は二限までやから久々に湘南堤防でカワハギる		ｘ	
前歯にゴボウが挟まって困っているなう	つまようじあげようか？		
豚の旨味がたっぷり出た煮汁が野菜に染み込む	絶対おいしいじゃん		
酒飲み過ぎて寝られへん	飲みすぎ注意してね		
焼酎とお湯と梅を用意した	今からお酒飲むのかな？		
煎餅のように見えた		ｘ	
揚げたてのコロッケが食べたい	揚げたて最高だよね！		
やはり煙草の燻製になってしまった		ｘ	
さっき分かりやすいようにしおからにしておきました		ｘ	
座席気になってしょうがない		ｘ	
銀杏の落ち葉が黄色の絵の具をこぼしたみたいでキレイだった		ｘ	
白味噌のお汁甘くて美味しい	ほんのり甘くておいしいよね		
悪林檎とか春雨踊りたい気分になってきた		ｘ	
たこ焼きでもぜんざいでもなく		ｘ	
磯の香りしかしない	何食べてるの？		
パイン食べながら新宿徘徊してます	冷やしパインかな？		
きのみグリルつくって〜！ごほんで読んだ	作り方教えて〜		
刺身に付いてくるわさびは粉からできる	え？ワサビすったものじゃないの？		
豚汁ってほんと何杯でも飲める	味噌汁よりおいしいよね		
ハモるって分かってるけどなんか		ｘ	
ポケモンサンを初見プレイする魚を開始しました		ｘ	
唐突に肉と野菜が食いてえ	野菜炒め作ったらいいじゃん		
キノコと野菜とこんにゃくが美味しくてしゃーない	ヘルシーでおいしそう		
今酒飲みながらカステラ頬張ってる	お酒とカステラって合うの？		
油揚げをあげようとしたい	油揚げを揚げるって斬新だね		
ふつーに塩入れ忘れてた	薄味すぎてまずそう		
小豆煮ながら編集だ	両方とも頑張ってね		
かまぼこの臭いがする	かまぼこってにおいあるっけ？		
楽しみにしていた里芋の煮っころがし	よく煮たやつ好きだよ		
今日ヒルナンデスでやってたカフェのパンケーキ美味しそうだった	お店のパンケーキフワフワしてるよね		
こんな時間にプリン食べちゃった	その分、運動したほうがいいよ		
しめじのワンマン申し込んだ		ｘ	
学校行事のバーベキューしてきた	バーベキュー楽しそう！		
残ったスープに米入れてスープラーメンにして喰う	リゾットみたいでおいしいそう		
主人が残業してきたからバター溶かしてマシュマロ乗せるんや	カロリー高そう		
メープルシロップの蓋があかない	あけてあげようか？		
デザートに残ってたスイートポテトも食べてきた	スイートポテト余ってるの珍しい		
海老の下処理と秋刀魚を三枚におろしました	下処理しないとおいしさ半減するよね		
ナムルの生地できた	ナムルに生地ってあるっけ？		
この時期のみかんは美味しすぎる	甘くて一番おいしい季節だよね		
