発話文	応答文	xの場合x	(理由？なくても)
癒しの抹茶のんです		x	人名
洋梨を買ってきた	洋梨は美味しいよね		
ポテトが揚がったら		x	
みうちゃんに鉄火巻き盗まれた		x	人名
白桃は缶で飲んで美味しかったから瓶で買ってきた	白桃って桃のお酒かな		
焼き芋食べたかった気持ち薄れた	焼き芋はまた今度にしようね		
その抱えているものはとろろだといってくださいお願いします	いいえ、とろろではありません		
可愛いラテでほっこり		x	可愛いラテ？
かまぼこをわさびで和える	かまぼことわさびは合うよね		
赤飯と麻婆豆腐食べなきゃ	赤飯と麻婆豆腐ってどんな組み合わせなの？		
なべっこ遠足懐かしい		x	
影霊衣に餅積みてえ		x	
いただいた豚バラのブロックの煮込み		x	非文
数年ぶりにカフェラテ買ってみた	カフェラテか、私も飲みたいな		
今しばし生海老を剥く動画を見てしまっていた	なんで生海老をむく動画なんて見てたの？	△	
お腹減ったので夜ご飯のとろろ食べた	夜ご飯はとろろだけなの？		
おいしいクッキー腹いっぱい食う方法ない	美味しくても、クッキーはほどほどにしたほうがいいよ		
まって紅茶花伝のメープル飲みたい	紅茶花伝にメープル味なんてあるんだ		
ワインとジュースに内定もらった		x	
そういえばサブアカを作るとしたらライスになりました		x	
我輩は生肉である		x	
お姉様がポカリとゼリー買って来てくれた	ポカリとゼリーはありがたいね		
トカゲのフライを何より好む	トカゲのフライって食べられるの？		
叔母さんがくれたブラウニーおいしい	ブラウニーは美味しいよね		
牛乳の次に砂糖が書かれてやがる		x	文脈
今宵は白味噌じゃぁ	白味噌をどうするの？		
フレッシュな苺と餃子ですくすく育った	苺と餃子が好きなの？		
すき家の七味おいしすぎない	七味はどこでも同じじゃない？		
夫がシーチキンを抱えて夜な夜な出掛けていきます	なんでシーチキンを持ってくんだろうね	△	
本日の夕御飯は肉うどんと野菜スティックとゆで桜えびです	肉うどんは好きなんだよね		
干しエビと冬瓜のあんかけ麺です	あんかけ麺は最近食べてなかったな		
しいたけになって梨子ちゃんを追いかけまわしたい		x	人名
いそやさんまた泊まりに行きたい		x	人名
わさびが小洒落てる		x	
豚まん持ってきてくれたら		x	非文
味噌汁よりクリーミーだけどクリームシチューよりあっさり		x	文脈
香辛料と調味料もらった	どんな香辛料と調味料をもらったの？		
柿が減りません	私が代わりに柿を食べてあげようか		
昨日作った超美味しい牛肉と大根と豆腐の煮物がもうない	その煮物は私も食べてみたかったな		
おばあちゃんが送ってくれた蒸し器でさつまいも蒸した	蒸し器で蒸したさつまいもは美味しいよね		
ラー油ふりかけは美味い	ラー油ふりかけはご飯が進むよね		
胃腸炎なりそう最近ちゃんとご飯食べれてない	ちゃんと病院に行った方がいいよ	△	
胡椒きいてておいしかった		x	文脈
乾物にすればたべれない事はないんだ		x	文脈
ヒラメは明日食おう	ヒラメは最近食べてないな		
噂のチョコ買ってきた	そのチョコはどんな風に噂されているの？		
