発話文	応答文	xの場合x	(理由？なくても)
もやしが成長して枝豆になる	もやし好きなんだよね		
目の前でコロッケ売り切れた	それは残念だね		
シーチキンの砂糖醤油炒め	レシピを教えてよ		
ライチの鞄くる			
スーパー玉出の惣菜は爆弾です			
メンマかと思ったらエリンギでした	似てるからしょうがないね		
あさりの心が狭い			
ペペロンチーノは市販のソースに加え			
ドリア作ったけど味が薄い	塩と胡椒をふりかけよう		
豆腐が残ってたから肉じゃがに突っ込んでみたら			
マシュマロクリームを塗ったくったトーストまで行こう			
わかめの酢の物美味しすぎやろ	酸っぱいものは嫌い		
タコとセロリのサラダ自分で作ってみた	料理するんだ		
シールドも邪魔なイカも速攻で溶かしてあ			
ポテトに塩辛初めて見ました	それって美味しの？		
卵の黄身に醤油かけないと食べられなくなってる	中毒性ありそうだもんね		
100ｇ1500円の数の子が3kｇあります	算数の問題でありそう		
可愛くてからソフトの時頼りになるまいまい			
来月はヒラメのカルパッチョを予定しています	待ちきれないな		
さーやにマフィンあげんの忘れた			
白菜の蒸し煮	作ったことあるよ		
メンマも手作りなお店はなかなかない	すごいこだわってるね		
磯の香りがしているだけだ			
おかゆばっかだから体重が５８切った	おかゆは栄養が少ないからね		
名脇役のすだちです			
きゅうりは濃い緑色でイボが痛いくらいのものが新鮮で			
アルコールは結構重要			
ブランデーって名前が高そうやん	ウィスキーも高そうじゃない		
今は明太子食べたい			
明日はスコーン作ろう	スコーンって作れるの？		
カレーにケチャップとソース入れたらハヤシライスの味になる	カレー食べてるときに、ハヤシライス食べたくなったらやってみる		
あんまりに時間なくて白米だけ詰めたお弁当になった	ふりかけをもっていけばいんじゃない		
アサリの使い方が贅沢	アサリおいしからね		
水や氷なぞもはや恐るるに足らん			
ブリ倒してくれへん			
米と大豆へのアレンジの意図がやはり読みきれん			
唐揚げと肉団子と卵焼きが食べたい	あとステーキも		
卵の黄身が二つある	それはめずらしい		
歯磨いたのに菓子食べちゃった	虫歯になるぞ		
肉じゃが作って六花に見せたら			
ようやく珈琲の会が終わり			
柑橘類の果皮が活躍してくれます			
山椒が効いた痺れる麻婆豆腐が食べたい	中華料理が一番好き		
レンジでチンしてオーブンでブンして食ってくれ			
日本に行ったらまずイカの塩辛を食べよう	イカの塩辛が最初ってめずらしいね		
バジルは乾燥バジルで誤魔化してます	気づかなかった		
サラダ油を買いに行ったら			
ハーブ生えてた			
銀杏が早すぎなんだ			
サクラのリキュールって初めて手にする	どんな味がするんだろう		
買って来た551の豚まんを夜ごはんにする			
香辛料などを煮込んだブラジルの代表的な家庭料理です			
お鍋は食べすぎます	美味しいからしかたがない		
一口目で後悔するくらい重いカルボナーラが食べたい	ミートソース派なんで		
妹とクレープ食べてて弟がソフトクリーム食べてる			現在
久しぶりにビーンズ寄ってみよう			店
ペッパーのペロピタ唾液がサバイバルを経て少なくなってる気がする			日本語
かぼちゃんで定着した			？
お茶と飴出てきた			現在
シャリの味が濃くなくて良い	酸っぱいシャリは嫌よね		
スシローのわさびって少量でもすっごい鼻に来ません			店
くるみにうんこ噴射された			うんこ
チェリーで近距離カーボンに1回も負けなかったのうれしすぎる			？
今日の夜ご飯はプルコギのたれ使った			何に
武蔵よりも早起きしてとうもろこし探さなきゃ			食べてない
ゴボウだって絶対ブスじゃん			？
柿なのだ	栗もいいけどね		
甘納豆が美味くて仕方ない	甘納豆嫌い		
数の子食べたことない	絶対食べたほうがいいよ		
松茸にジョブチェンジする			？
何故エスカルゴを入れた			何に？
ホットココアにマシュマロを浮かべたマグを差し出し			途中
クレープ食べたいって言ってた	じゃあ、クレープ買おう		
バニラの香水つけたら酔った	食べちゃうぞ		
ウニ上手くなりたい			？
整備風景見ながらカフェラテ頂きます	意外に合うかもよ		
50で会ったジャコい奴です			
白米うますぎて２杯食べた	ふりかけかけな		
みょうがというので呼びやすいように呼んでください			名前
おいしいナス食べないと収まらん	スーパーに行こう		
おかずも消化の良いものを少量入れた			
今日でシナモンが一番好きになりました			何かあった
ヒラメで相手のその編成はずるくない			
好きな漬物は広島っ子なので広島菜です	漬物ではないですが、広島のお好み焼き好き		
キンキンに冷えたコーラ飲みたい	私は、キンキンに冷えたビールが飲みたい		
ひじきが常識人みたいなことしてたら逆に心配になる			
あと少しでモツが出ても死なない兄貴が出来上がる			
せっかく餃子作ったのにラー油が無い	買いにいこうか？		
錦市場でハモの天ぷらを食す	天ぷらはサツマイモが好き		
寒いからお鍋したい食べたい	私は寒いとおでんが食べたくなる		
酒は百薬の長と申します			
玉にウィンナーの時もあります			
シェフより詳しいやん			
サントリーの角も牛乳で割るとウイスキーの甘みがよくわかる	お酒の味がまだわからない		
マドレーヌを15cm型で焼きました	そのマドレーヌ食べたい		
岩塩かじって蜂蜜舐めて壁見つめるだけの人生送りたい	つまらない人生だね		
柿のでかさを表現したいだけなんだ			
美味しい洋梨のコンポート仕込みました	おお、いいね		
七味かけすぎて背中がなぜかぽっかぽか	辛い料理好き		
左手が焼き芋の匂いしまくる			
甘いコーヒーに甘い菓子を食べてる	甘党だね		
まいまいが3人分に揚げ物買ってくれたwwwwwありがとう			
里芋の肉じゃがを作りました	和食大好き		
きな粉牛乳に蜂蜜いれるのはやめたほうがいい	すごく甘そう		
あとは果実を落としてくれる風を待てばいいのだ			
友達にキャラメル貰った			
代表的なものは包種茶やウーロン茶がある			
サザエが完成したので会社に連れて行ったら			
２重でも断然のヒラメだった			
大きな白菜とたくさんの里芋をいただく			曖昧性
えのきの豚肉巻き作った	そんなの絶対美味しでしょ		
ジャスミンで胃を落ち着かせる	ジャスミンにそんな効果があるんだ		
フルーツ入ってるならこの生クリームとか入れたらもとおいし			
バター醤油味のポテト食べたい			
フルーツ食べてアクエリアスをコップ1杯飲んで寝ました			
メープルシロップかけるとワッフルもしんなりというか柔らかく			
コストコのマフィンがうますぎて太る			
おから食べ過ぎると具合悪くなるってマジだったんだ			
塩辛たべたいわぁああ			
エビの尻尾ってゴキブリの羽と同じ成分らしい			
ひき肉あまったからメンチカツやったらカレーパンになった			
辛口ですがすみません			
キャラメルが一番です			
梨をの酸味を取り除いて少し薄めるとマスカットになる			
リゾットと公園で会いました			
枝豆持ってこ			
カワハギに似てるかもしれない			
湯葉とほうれん草の豆乳ソースパスタを作りました			
鱈をポン酢でやりたい			
身体は芋で出来ている			
商品へのコメントが辛口すぎてさっきからウケてる			
ミネストローネとかも体あったまって好きです			
アボカドの種がこうなった			
練乳のストック切れた			
ブロッコリーは最強高くて手が出ない			
剃りおろし胡瓜も始めた			
馬刺しがそんなに食べたいのなら			
ほうれん草の胡麻和えっ			
サツマイモと玉ねぎとツナのサラダ美味しい			
真鯛はまだいねえ			
・・・・・バーとゼリーを犠牲に安心を買った			
紅茶のことエミヤって呼ぶのなんかすごいそわそわするから呼ばない			
天元って鯨とカラットなきゃきつい			
あああああの3枚目に載っているタピオカと申します			
オカンの作った茶碗蒸しが食べたい			
レジェは炭酸ありなしも選べて親切設計だった			
ピーマンが嫌いとかと同じでしょ			
もう一つは新芽がまだまだ展開してこない			
リゾットの冷蔵庫にもたぶんある			
前髪切ったあみりんも可愛い			
豆乳は臭いからきらい			
ほうれん草が格安で売っていたからキッシュを作ってみた			
カルボナーラとコーンスープを用意してしまった			
利きウーロン茶も夢じゃない			
この時間に暗記パンならぬ食パン食べました			
氷を降りて守る者が出来た			
おうちで同じキノコを食べたおじいさんが苦しんでいるそうです			
バイトおわったらキムチとチューハイで作業するんだ			
チーズケーキやショートケーキの素材全部交換できてしまう			
今日の晩御飯は豚肉のしょうがやき			
仕方がないから豆腐を料理してみたら			
赤身ではなく			
551蓬莱の豚まんはアウトだと思う			
酸っぱいと言われ台所に戻って梅干を食べてみる			
のどにふりかけの海苔が詰まったのでしにました			
ずっと冷蔵庫に眠ってたグレープフルーツが激甘で幸せ			
カレーパンをオーブンで二度焼きしたら良い感じになった			
夢だったチャーシューまるごと食いやらせていただきます			
胸焼けしてもサーロイン食べたい			
サーロインの女の子がものっそい好みで心臓撃ち抜かれた			
呼子のイカ食べたい			
富山きたら鱒の寿司たべられませ			
時間的に食事兼ねたのでパンケーキは単独より小さめ			
スイートポテトやいてる間に人参玉ねぎ切ってまおちゃん特製カレーつくる			
カルボナーラの隠し味にティラミスぶち込む			
寒い日は豚汁に限る			
職場の冷蔵庫に入れた生菓子の存在を2ヶ月ぶりに思い出す			
グレープフルーツの香り付けを行います			
焼き魚に添えてあるはじかみ			
ミネストローネに豆腐浮きすぎだろ			
青菜の食事で愛し合うほうが良い			
ジュースの替わりにお茶を飲もう			
肉に馴染ませてオーブンでブンするだけで旨い			
イチゴがバラの花のようになります			
長芋擦ったら手が痒い			
玄米の気持ちは大きすぎてう			
玄米も大麦もある			
世界には野菜と白菜がある			
普段食べる干物はさんまです			
カステラを卵黄に浸し			
ベーコンエッグとトーストに勝る物ゎない気がして来た			
さっきピスタチオの燻製食べたんだけど美味しかった			
辛口ってあるのになんかめっちゃ褒められてるきがする			
マグロの話だ			
手のひらより大きめサイズのクロワッサンです			
カニ食べ行こう			
あみにはキャベツの千切り買ってきてあげる			
メレンゲ作った時あれ			
お風呂にグレープフルーツを入れる			
カフェラテの写真間違ってた			
負の感情の涙はしょっぱいらしいので固めると岩塩になり			
マーガリンつけて胡椒掛けて食います			
シリアルというよりもむしろ名前入れる為に買ってる感じある			
まぐろと本マグロくらいちがう			
個人的に牛肉より鶏の方が好きです			
ねむいー今朝はホットケーキにしよう			
馬刺しかー前の店でいいんじゃない			
ココアとコーヒーを混ぜたらめっちゃ美味しかった			
コンビニで買ったサラダのドレッシングが目にINしますた			
これから燻製します			
強引にシャンパンを飲ませる			
多分明日は死んだ魚のような目をしてると思う			
今年の年末は美味しいお鍋がいっぱい食べられそうだ			
ソースの緑はほうれん草やった			
ベランダの干し柿が増えてる			
焼き鮭に限る			
ウーロン茶を一杯どうぞ			
忘年会したいし牡蠣食べたい			
ゆーてドリアン食ったことないから味が分からん			
油揚げとか入ってます			
娘と主人の好物のラッシーも作っておこう			
卵焼きにお箸が負けた			
人参だけ食べた			
イタリアで食べたジェラート思い出す			
サッと茹でてちょっと塩ふるとスッゴク美味しい			
練乳の人酔ってます			
本格的な烏龍茶だ			
赤い鯛も白くなるんだ			
スタバのドリンクと愛が主成分です			
